Timestamp,Log_Level,Component,User_ID,IP_Address,Location,Session_Duration,User_Agent,Action_Taken,Attack_Type,Is_Anomalous
2025-06-10 18:23:01,ERROR,WebApp,user_12,192.168.5.34,Pune,54.3,python-requests/2.25.1,Quarantined file,SQL Injection,1
2025-06-10 18:25:12,WARN,Login,user_42,10.0.0.14,Mumbai,3.1,curl/7.79.1,Blocked IP,Brute Force Attempt,1
2025-06-10 18:30:09,INFO,Auth,user_03,192.168.1.10,Delhi,72.8,Mozilla/5.0,None,None,0
2025-06-10 18:31:55,ERROR,DB,user_77,172.16.4.1,Mumbai,21.4,sqlmap/1.5,IP Flagged,SQL Injection,1
2025-06-10 18:35:20,INFO,Auth,user_99,10.0.1.6,Chennai,15.2,Mozilla/5.0,None,None,0
2025-06-11 09:47:01,INFO,Login,user_4,96.166.24.66,Bengaluru,86.67,Nmap/7.91,None,None,1
2025-06-10 14:57:01,INFO,WebApp,user_4,40.68.123.88,Bengaluru,57.86,Nmap/7.91,None,None,1
2025-06-10 15:20:42,INFO,Auth,user_74,130.9.44.132,Pune,24.37,Nmap/7.91,None,None,1
2025-06-11 03:16:55,INFO,API,user_45,132.92.199.163,Pune,116.37,sqlmap/1.5,None,None,1
2025-06-11 03:30:20,INFO,Login,user_93,29.251.160.42,Delhi,106.4,Nmap/7.91,Blocked IP,SQL Injection,1
2025-06-11 08:29:40,ERROR,WebApp,user_32,167.188.248.13,Hyderabad,45.68,Mozilla/5.0,None,None,0
2025-06-10 13:07:08,INFO,WebApp,user_32,119.187.114.237,Chennai,82.95,sqlmap/1.5,None,None,1
2025-06-10 14:45:28,WARN,WebApp,user_63,124.114.225.27,Mumbai,27.33,sqlmap/1.5,None,None,1
2025-06-11 08:51:43,INFO,DB,user_65,59.216.180.29,Hyderabad,5.28,Nmap/7.91,None,None,1
2025-06-11 09:58:24,INFO,DB,user_23,34.98.187.68,Bengaluru,46.33,python-requests/2.25.1,None,Brute Force Attempt,1
2025-06-10 23:47:01,INFO,WebApp,user_14,62.109.123.215,Delhi,5.59,python-requests/2.25.1,None,None,0
2025-06-10 15:02:08,ERROR,DB,user_6,134.54.105.148,Delhi,68.29,python-requests/2.25.1,None,None,0
2025-06-10 17:58:44,INFO,WebApp,user_35,138.72.140.15,Mumbai,32.51,Nmap/7.91,None,None,1
2025-06-11 02:37:33,INFO,DB,user_37,191.56.221.140,Bengaluru,118.31,Nmap/7.91,None,Brute Force Attempt,1
2025-06-10 18:30:23,INFO,DB,user_52,19.118.102.33,Delhi,48.97,curl/7.79.1,None,None,1
2025-06-11 07:20:39,INFO,DB,user_3,69.25.211.49,Mumbai,49.29,curl/7.79.1,None,None,1
2025-06-11 08:49:53,WARN,WebApp,user_66,176.189.58.223,Delhi,15.23,curl/7.79.1,None,None,1
2025-06-11 08:45:36,INFO,API,user_43,119.176.46.91,Pune,54.83,Mozilla/5.0,None,None,0
2025-06-10 17:36:25,INFO,DB,user_50,145.79.84.78,Mumbai,35.08,Nmap/7.91,Quarantined file,SQL Injection,1
2025-06-10 22:45:55,INFO,Auth,user_41,166.203.101.177,Pune,111.89,python-requests/2.25.1,None,None,0
2025-06-10 12:51:40,WARN,Login,user_97,112.101.17.11,Delhi,30.44,Nmap/7.91,None,None,1
2025-06-10 14:49:19,INFO,Auth,user_16,116.146.62.153,Mumbai,55.12,Mozilla/5.0,None,None,0
