Timestamp,Log_Level,Component,User_ID,IP_Address,Location,Session_Duration,User_Agent,Action_Taken,Attack_Type,Is_Anomalous,Hour,DayOfWeek,IsWeekend,IsNight,User_ID_encoded,IP_Address_encoded,Location_encoded,User_Agent_encoded,Attack_Type_encoded,Predicted_Anomaly,Anomaly_Score
2025-06-10 18:23:01,ERROR,WebApp,user_12,192.168.5.34,Pune,54.3,python-requests/2.25.1,Quarantined file,SQL Injection,1,18,1,0,0,5,1680,5,3,2,1,0.06199734399209378
2025-06-10 18:25:12,WARN,Login,user_42,10.0.0.14,Mumbai,3.1,curl/7.79.1,Blocked IP,Brute Force Attempt,1,18,1,0,0,38,0,4,2,0,1,0.009595208917803189
2025-06-10 18:30:09,INFO,Auth,user_03,192.168.1.10,Delhi,72.8,Mozilla/5.0,Unknown,Unknown,0,18,1,0,0,0,1679,2,0,3,1,0.07059405896917925
2025-06-10 18:31:55,ERROR,DB,user_77,172.16.4.1,Mumbai,21.4,sqlmap/1.5,IP Flagged,SQL Injection,1,18,1,0,0,76,1339,4,4,2,1,0.0656493110600267
2025-06-10 18:35:20,INFO,Auth,user_99,10.0.1.6,Chennai,15.2,Mozilla/5.0,Unknown,Unknown,0,18,1,0,0,100,1,1,0,3,1,0.03506751718307888
2025-06-11 09:47:01,INFO,Login,user_4,96.166.24.66,Bengaluru,86.67,Nmap/7.91,Unknown,Unknown,1,9,2,0,0,35,2936,0,1,3,1,0.04775691231403345
2025-06-10 14:57:01,INFO,WebApp,user_4,40.68.123.88,Bengaluru,57.86,Nmap/7.91,Unknown,Unknown,1,14,1,0,0,35,2018,0,1,3,1,0.09574935377540278
2025-06-10 15:20:42,INFO,Auth,user_74,130.9.44.132,Pune,24.37,Nmap/7.91,Unknown,Unknown,1,15,1,0,0,73,573,5,1,3,1,0.08937156344285957
2025-06-11 03:16:55,INFO,API,user_45,132.92.199.163,Pune,116.37,sqlmap/1.5,Unknown,Unknown,1,3,2,0,1,41,612,5,4,3,1,0.014158287216965104
2025-06-11 03:30:20,INFO,Login,user_93,29.251.160.42,Delhi,106.4,Nmap/7.91,Blocked IP,SQL Injection,1,3,2,0,1,94,1832,2,1,2,1,0.027860233631549325
2025-06-11 08:29:40,ERROR,WebApp,user_32,167.188.248.13,Hyderabad,45.68,Mozilla/5.0,Unknown,Unknown,0,8,2,0,0,27,1250,3,0,3,1,0.08418969436867191
2025-06-10 13:07:08,INFO,WebApp,user_32,119.187.114.237,Chennai,82.95,sqlmap/1.5,Unknown,Unknown,1,13,1,0,0,27,365,1,4,3,1,0.08219541859678692
2025-06-10 14:45:28,WARN,WebApp,user_63,124.114.225.27,Mumbai,27.33,sqlmap/1.5,Unknown,Unknown,1,14,1,0,0,61,463,4,4,3,1,0.09318702602269585
2025-06-11 08:51:43,INFO,DB,user_65,59.216.180.29,Hyderabad,5.28,Nmap/7.91,Unknown,Unknown,1,8,2,0,0,63,2324,3,1,3,1,0.07334478209670553
2025-06-11 09:58:24,INFO,DB,user_23,34.98.187.68,Bengaluru,46.33,python-requests/2.25.1,Unknown,Brute Force Attempt,1,9,2,0,0,17,1916,0,3,0,1,0.012945450217418109
